solver,problem,nodecount,edges,anchors,totaliterations,population,deIteration,distFraction,testcase,time ms :_lbfgs,threads:_lbfgs,iterations:_lbfgs,final f: _lbfgs,fevaluations: _lbfgs,optimizer_lbfgs,time ms :_gd,threads:_gd,iterations:_gd,final f: _gd,fevaluations: _gd,optimizer_gd
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,5,4,0.5,0,68854.40625,128,397,2808344226840.73,10009,LBFGS,53106.230469,128,402,2808784142978.76,10000,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,5,19,0.5,1,68705.78125,128,95,2808624642519.87,2502,LBFGS,53377.066406,128,97,2835507136183.18,2502,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,5,0,0.5,2,65392.804688,128,1414,2808344225113.81,50032,LBFGS,52415.113281,128,2022,2817714047145.63,50010,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,5,4,0.5,3,68290.25,128,397,2808344226653.18,10000,LBFGS,52518.582031,128,402,2812068396969.75,10014,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,5,4,0.5,4,68274.609375,128,397,2808344226126.99,10002,LBFGS,52594.230469,128,403,2810589884390.41,10001,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,20,0,0.5,0,70102.75,128,721,2808344225113.81,22557,LBFGS,55211.578125,128,2027,2808344362539.96,50016,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,20,0,0.5,1,71079.03125,128,1009,2808344225113.8,35522,LBFGS,55256.503906,128,2024,2808630459111.41,50004,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,20,0,0.5,2,67005.179688,128,1001,2808344225113.81,33121,LBFGS,54198.058594,128,2022,2827170515757.71,50001,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,20,0,0.5,3,70601.351562,128,1117,2808344225113.81,41363,LBFGS,54212.28125,128,2023,2808344413656.53,50000,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,20,1,0.5,4,71369.789062,128,719,2808344225113.8,25022,LBFGS,54217.808594,128,1010,2808346644336.8,25005,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,1,0,0.1,0,537460.8125,128,1608,32101024693951.1,50003,LBFGS,447473.65625,128,2033,32101024869760.3,50005,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,1,0,0.1,1,414721.90625,128,1263,32101024693948,37924,LBFGS,447502.875,128,2033,32101024864257.2,50011,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,1,0,0.1,2,478267.875,128,1424,32101024693961.6,44938,LBFGS,446182.96875,128,2034,32101024860010,50011,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,1,0,0.1,3,553880.3125,128,1700,32101024693949.8,50026,LBFGS,446058.59375,128,2035,32101024862438,50009,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,1,0,0.1,4,488586.96875,128,1420,32101024693948.1,45035,LBFGS,446068.46875,128,2035,32101024859100.1,50021,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,5,0,0.1,0,578483.125,128,1340,32101024693947.7,41483,LBFGS,460353.09375,128,2035,32101024860211.3,50019,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,5,0,0.1,1,573542.25,128,1042,32101024693948.6,29055,LBFGS,460469.46875,128,2035,32101024852364.4,50015,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,5,0,0.1,2,566647.8125,128,1170,32101024693948.5,42838,LBFGS,456305.65625,128,2034,32101024856406.1,50014,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,5,0,0.1,3,570840.25,128,1210,32101024693947.9,32086,LBFGS,456320,128,2035,32101024860241.8,50008,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,5,0,0.1,4,572650.625,128,1286,32101024693948.1,38067,LBFGS,458329.875,128,2034,32101024858496.9,50020,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,20,0,0.1,0,604714.1875,128,1285,32101024693948.8,33866,LBFGS,477256.5625,128,2034,32101024853716,50010,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,20,0,0.1,1,614863.0625,128,1072,32101024693947.8,28590,LBFGS,477017.21875,128,2033,32101024855952.5,50006,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,20,0,0.1,2,602767.25,128,1074,32101024693947.8,29440,LBFGS,473359.65625,128,2033,32101024855110.8,50001,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,20,0,0.1,3,605739.25,128,1028,32101024693947.8,27976,LBFGS,473315.4375,128,2033,32101024852424.9,50011,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3422,1000,50000,20,0,0.1,4,605620.5,128,1072,32101024693947.7,32759,LBFGS,472996.71875,128,2033,32101024856404.1,50015,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,1,0,0.5,0,571516,128,1761,31892712390620.3,50396,LBFGS,447483.375,128,1991,31960837819453.4,50003,GD
OPTIMIZER_MIN_DE,3DRandom1,1000,3455,1000,50000,1,0,0.5,1,548674.1875,128,1502,31864271417931.2,50025,LBFGS,447385.59375,128,1995,31988508144811.8,50007,GD
