,"('solver', '')","('problem', '')","('nodecount', '')","('edges', '')","('anchors', '')","('totaliterations', '')","('population', '')","('deIteration', '')","('distFraction', '')","('optimizer', '')","('final f: ', 'mean')","('final f: ', 'std')"
110,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,0.0,0.1,GD,412724862770.4739,2.7575492645589875e-07
460,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,45000.0,0.1,GD,412724862770.4739,2.7575492645589875e-07
108,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,1.0,0.0,0.1,GD,412725002537.68933,4.0968059542446344e-07
134,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,50000.0,5.0,19.0,0.1,GD,412726890849.2312,7.821172087677037e-06
120,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,1.0,0.1,GD,412727970204.2484,6.075092190292371e-06
112,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,1.0,0.1,GD,412729385730.11835,7.863962983796912e-06
123,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,4.0,0.1,LBFGS,412771488157.6812,4.417393532527832e-05
115,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,4.0,0.1,LBFGS,412796664755.97705,9.820284791500057e-05
122,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,4.0,0.1,GD,412845787717.7366,0.00017575420616477142
101,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,20.0,0.0,0.1,LBFGS,412853419790.9431,0.00029515881843339116
93,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,5.0,0.0,0.1,LBFGS,413083562221.31934,0.0008583853835300149
100,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,20.0,0.0,0.1,GD,413098283797.9738,0.00038654704638084415
114,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,4.0,0.1,GD,413202103789.00525,0.001149875657112735
92,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,5.0,0.0,0.1,GD,413719872603.1645,0.0015992411217323913
90,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,1.0,0.0,0.1,GD,415673055503.1437,0.012149857453052472
91,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,1.0,0.0,0.1,LBFGS,429690908885.4116,0.09066926435487109
458,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,4500.0,0.1,GD,432300272657.74457,0.03335458356881248
102,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,20.0,1.0,0.1,GD,433213712150.82874,0.02172907938432503
124,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,19.0,0.1,GD,436967751635.98047,0.02594668645732989
103,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,20.0,1.0,0.1,LBFGS,442618875713.4027,0.07489908015076388
95,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,5.0,1.0,0.1,LBFGS,459913628793.1022,0.020091814163816977
459,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,5000.0,20.0,4500.0,0.1,LBFGS,461017043713.4752,0.10066703111143085
94,OPTIMIZER_MIN_DE,3DRandom1,10.0,13.0,10.0,1000.0,5.0,1.0,0.1,GD,469754224842.783,0.08098609534595126
456,OPTIMIZER_MIN_INIT_DE,3DRandom1,10.0,13.0,10.0,5000.0,5.0,4500.0,0.1,GD,517263641837.45935,0.10783814139056265
211,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,1.0,0.5,LBFGS,2808344225113.8223,9.554439251961135e-15
213,OPTIMIZER_MIN_DE,3DRandom1,100.0,310.0,100.0,50000.0,20.0,4.0,0.5,LBFGS,2808344227560.589,2.1117828797917667e-09
